Course Title,University,Duration (full-time),Minimum Entry Requirements,Prerequisite Highers,Data Science Elements,Course Director,Industry Placement,Online only,Other,URL Links
Informational Technology Management ,Edinburgh Napier University,4 years,BBBC,,"Modelling for Business and Statistics, Business Systems Analysis and Design, Database Systems, Enterprise Systems, ",,No,,,"<a href=""http://www.napier.ac.uk/courses/bsc-hons-information-technology-management-undergraduate-fulltime"" target=""_blank"" >Informational Technology Management </a>"
Computing  Science ,Edinburgh Napier University,4 years,BBCC,,"Database systems, Algoriths and Data Structures, Advanced Web Technologies, Data Analytics",,Yes,,,"<a href=""http://www.napier.ac.uk/courses/bscbsc-hons-computing-science-undergraduate-fulltime"" target=""_blank"" >Computing Science </a>"
Information Technology Management for Business,Glasgow Caledonian University,3 years,BBBB ,Computing or maths,"Introduction to Economics and Data Analysis, Database Development, International Business Strategy, Database Development, Introduction to Economics and Data Analysis, Big Data, Business Process Modelling ",Fiona Fairlie,Yes,,,"<a href=""http://www.gcu.ac.uk/study/courses/details/index.php/P00280-1FTA-1617/IT%20Management%20for%20Business?loc=uk"" target=""_blank"" >Information Technology Management for Business </a>"
Cyber Security and Networks,Glasgow Caledonian University,4 years,BBC,,Scalable campus networking,Anand Philip,Yes,,Study for 2 years at college to get HND in Computer Networking or HNT Computing Technical Support,"<a href=""http://www.gcu.ac.uk/study/courses/details/index.php/P02276-1FTA-1617/Cyber%20Security%20&%20Networks?loc=uk"" target=""_blank"" >Cyber Security and Networks </a>"
Computing,Glasgow Caledonian University,4 Years,BBBB,,"Database development, data structures and algorithms, big data",Fiona Fairlie and Katrin Hartmann,Yes,,,"<a href=""http://www.gcu.ac.uk/study/courses/details/index.php/P02768-1FTA-1617/Computing"" target=""_blank"" >Computing</a>"
Statistical Modelling,Heriot-Watt University,4 years,AAAB,,"Introduction to statistical packages, Analysis of Data, Statistical Methods for Social Sciences, Simulation and Statistica lComputing, Further Statistical Method",,No,,,"<a href=""https://www.hw.ac.uk/undergraduate/statistical-modelling.htm"" target=""_blank"" >Statistical Modelling </a>"
Computer Science,Heriot-Watt University,4 years,BBBBC,,"Databases, Discrete Mathematics, Algorithms and Data Structures",Dr Hans Wolfgang Loidl,No,,,"<a href=""https://www.hw.ac.uk/schools/mathematical-computer-sciences/departments/computer-science.htm"" target=""_blank"" >Computer Science </a>"
Computer Science,Robert Gordon University,4 years,BBBC,,Database systems,John Isaacs,Yes,,,"<a href=""http://www.rgu.ac.uk/computing/study-options/undergraduate/computer-science-bsc-hons/"" target=""_blank"" >Computer Science </a>"
Computing and IT,The Open University,3 years,No formal entry requirements,,"Object-oriented Java Programming, Data Structures and Computability, Data Management and Analysis",,No,Yes,,"<a href=""http://www.open.ac.uk/courses/qualifications/q62"" target=""_blank"" >Computing and IT</a>"
Computing Science,The University of Stirling,4 years,BBBB,,"Data Structures, Objects and Algorithms, Computing and the Brain, Database Pricniples and Applications, ",Dr Andrea Bracciali,Yes,,,"<a href=""http://www.stir.ac.uk/undergraduate-study/course-information/courses-a-to-z/school-of-natural-sciences/computing-science/"" target=""_blank"" >Computing Science</a>"
Business Computing,The University of Stirling,4 years,BBBB ,,"Programming using Java, Data Strucutres, Objects and Algorithms, Database Principles and Applications, Business Analytics, Language Implementation, Computing and the Brain",Dr Andrea Bracciali,Yes,,,"<a href=""http://www.stir.ac.uk/undergraduate-study/course-information/courses-a-to-z/school-of-natural-sciences/business-computing/"" target=""_blank"" >Business Computing </a>"
Business Management and Information Systems,University of Aberdeen,4 years,AABB,,"Computer Programming and Principles, Understanding Statistics, Data Management",,Yes,,,"<a href=""http://www.abdn.ac.uk/study/undergraduate/degree-programmes/488/GN54/business-management-and-information-systems/"" target=""_blank"" >Business Management and Information Systems </a>"
Computing Science,University of Aberdeen,4 years,AABB,,"Data Managemen, Modern Programming Languages, Algorithmic Problem Solving, ",,Yes,,,"<a href=""http://www.abdn.ac.uk/study/undergraduate/degree-programmes/527/G400/computing-science/"" target=""_blank"" >Computing Science</a>"
Computing Science,University of Dundee,4 years,AABB,,"Introduction to Data Structure and Algorithms, Data Visualiation, Database Systems, Big Data Analysis, ",,Yes,,,"<a href=""http://www.dundee.ac.uk/study/ug/computing-science/"" target=""_blank"" >Computing Science</a>"
Artifical Intelligence and Computer Science,University of Edinburgh,4 years,AABBB,,"Natural Language Processing, Algorithms and Data Strucutres, Discrete Mathematics",,No,,,"<a href=""http://www.ed.ac.uk/studying/undergraduate/degrees/index.php?action=view&code=GG47"" target=""_blank"" >Artifical Intelligence and Computer Science </a>"
Computer Science,University of Edinburgh,4 years,AABB,,"Natural Langauge Processing, Algorithms and Data Structures, Discrete Mathematics, Principles of Computation and Programming",,No,,,"<a href=""http://www.ed.ac.uk/studying/undergraduate/degrees/index.php?action=programme&code=G400"" target=""_blank"" >Computer Science</a>"
Computing Science,University of Glasgow,4 years,ABBB,,"Programming using Python, Java Programming, Data Structures and Algorithms, Big Data: Systems, Programming and Management, Machine Learning, ",,No,,,"<a href=""http://www.gla.ac.uk/undergraduate/degrees/computingscience/#/entryrequirements"" target=""_blank"" >Computing Science</a>"
Statistics ,University of St Andrews,4 years,AAAB,,"Statistics in Practice, Statistical Inference, Computing Statistics, Generalised Linear Models and Data Analysis",,No,,,"<a href=""http://university.which.co.uk/university-of-st-andrews-s36/statistics-4-years-9000-g300-70477"" target=""_blank"" >University of St Andrews</a>"
Computer Science,University of St Andrews,4 years,AAAB,"Biology, chemistry or computing science","Programming with Java, Data Storage and Processing, Data Structures and Algorithms, Programming with C, Introduction to Python, Information Visualisation and Visual Analytics, Introduction to R",,Yes,,,"<a href=""http://www.st-andrews.ac.uk/courses/route/USHFCSCSCSC/year/2014-5"" target=""_blank"" >Computing Science </a>"
Data Analytics,University of Strathclyde,4 years ,AABB,,"Programming with Java, Essential Statistics, Machines, Languages and Computation, Logic and Algorithms, Inferences and Regression Modelling, Programming Language Definition and Implementation, Statistical Modelling and Analysis,",,No,,,"<a href=""https://www.strath.ac.uk/courses/undergraduate/dataanalytics/"" target=""_blank"" >Data Analytics</a>"
Business Analysis & Technology and Maths & Statistics,University of Strathclyde,4 years,AAAB,,"Introduction to Modelling Techniques, Analytical Models, Management Science, Business Analytics with Data Mining, Probability and Statistics",,Yes,,,"<a href=""https://www.strath.ac.uk/courses/undergraduate/businessanalysistechnologymathematicsstatistics/"" target=""_blank"" >Business Analysis & Technology and Maths & Statistics</a>"
"Mathematics, Statistics & Business Analysis",University of Stathclyde,4 years,AABB,,"Quantitative Techniques, Modelling Business Problems to Management Decision-Making and Planning, Statistics",,Yes,,,"<a href=""http://www.napier.ac.uk/courses/bsc-hons-information-technology-management-undergraduate-fulltime"" target=""_blank"" >Mathematics, Statistics & Business Analysis</a>"
Computer Science,University of Strathclyde,4 years,AAAB,,"Machines, Languages and Computation, Business Analysis and Technology, Logic and Algorithms, User and Data Modelling, Information Acess and Mining",,Yes,,,"<a href=""http://www.strath.ac.uk/courses/undergraduate/computersciencebsc/"" target=""_blank"" >Computer Science</a>"
Computing,University of the Highlands and Islands,4 years,C,,"Advanced Databases, Network and Security Management",,No,,,"<a href=""https://www.uhi.ac.uk/en/courses/bsc-hons-computing"" target=""_blank"" >Computing</a>"
Computer Science,University of the West of Scotland,4 years,BBB,,"Introduction to Databases, Modern Software Modelling Tools, Foundations of Programming",Dr Miriam Birch,Yes,,,"<a href=""http://www.uws.ac.uk/undergraduate/computing_science/"" target=""_blank"" >Computer Science</a>"
Business Technology,University of the West of Scotland,4 years,ABB,"English, maths or computer science","Introduction to Programming, Database Development, Business Intellignece, Business Systems Analysis,",Tom Caira,Yes,,,"<a href=""http://www.uws.ac.uk/bscbusinesstechnology/"" target=""_blank"" >Business Technology</a>"
